# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s
my-server,577,2017-06-15 04:10:01 UTC,lo,3.66,3.66,0.62,0.62,0.00,0.00,0.00
my-server,577,2017-06-15 04:10:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,577,2017-06-15 04:10:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,577,2017-06-15 04:10:01 UTC,eth2,1362.54,8403.37,462.71,10875.11,0.00,0.00,0.00
my-server,577,2017-06-15 04:10:01 UTC,eth3,0.21,0.10,0.01,0.00,0.00,0.00,0.00
my-server,577,2017-06-15 04:10:01 UTC,eth4,1.14,0.00,0.09,0.00,0.00,0.00,0.00
my-server,577,2017-06-15 04:10:01 UTC,eth5,0.21,0.00,0.01,0.00,0.00,0.00,0.00
my-server,577,2017-06-15 04:10:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,577,2017-06-15 04:10:01 UTC,bond0,1363.68,8403.37,462.79,10875.11,0.00,0.00,0.00
my-server,577,2017-06-15 04:10:01 UTC,bond1,0.42,0.10,0.02,0.00,0.00,0.00,0.00
my-server,578,2017-06-15 04:20:01 UTC,lo,3.66,3.66,0.58,0.58,0.00,0.00,0.00
my-server,578,2017-06-15 04:20:01 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,578,2017-06-15 04:20:01 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,578,2017-06-15 04:20:01 UTC,eth2,1516.24,5373.35,450.01,6534.01,0.00,0.00,0.00
my-server,578,2017-06-15 04:20:01 UTC,eth3,0.21,0.10,0.01,0.00,0.00,0.00,0.00
my-server,578,2017-06-15 04:20:01 UTC,eth4,1.04,0.00,0.08,0.00,0.00,0.00,0.00
my-server,578,2017-06-15 04:20:01 UTC,eth5,0.21,0.00,0.01,0.00,0.00,0.00,0.00
my-server,578,2017-06-15 04:20:01 UTC,usb0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,578,2017-06-15 04:20:01 UTC,bond0,1517.28,5373.35,450.10,6534.01,0.00,0.00,0.00
my-server,578,2017-06-15 04:20:01 UTC,bond1,0.41,0.10,0.02,0.00,0.00,0.00,0.00
my-server,576,2017-06-15 04:30:02 UTC,lo,3.56,3.56,0.57,0.57,0.00,0.00,0.00
my-server,576,2017-06-15 04:30:02 UTC,eth0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
my-server,576,2017-06-15 04:30:02 UTC,eth1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
